番号,設置形態,大学名,,平成30年度大学入学者選抜,,,,,,,,平成29年度大学入学者選抜,,,,,,,,平成28年度大学入学者選抜,,,,,,,,平成27年度大学入学者選抜,,,,,,,,平成26年度大学入学者選抜,,,,,,,,平成25年度大学入学者選抜,,,,,,,
,,,,受験者数,,,合格者数,,,合格率（合格者数／受験者数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,国立,旭川医科大学,うち20歳,49,19,68,7,2,9,14%,11%,64,19,83,9,5,14,14%,26%,49,16,65,8,2,10,16%,13%,49,18,67,6,3,9,12%,17%,62,28,90,4,3,7,6%,11%,58,19,77,10,4,14,17%,21%
2,国立,旭川医科大学,うち21歳,15,9,24,2,2,4,13%,22%,20,3,23,4,0,4,20%,0%,30,4,34,3,1,4,10%,25%,17,7,24,1,1,2,6%,14%,26,9,35,3,1,4,12%,11%,21,9,30,1,2,3,5%,22%
2,国立,旭川医科大学,うち22歳以上,44,11,55,2,2,4,5%,18%,48,18,66,0,2,2,0%,11%,36,18,54,4,3,7,11%,17%,32,16,48,5,2,7,16%,13%,47,24,71,4,0,4,9%,0%,64,32,96,3,3,6,5%,9%
3,国立,弘前大学,合計,319,247,566,59,53,112,18%,21%,298,250,548,50,62,112,17%,25%,607,357,964,66,50,116,11%,14%,586,285,871,72,41,113,12%,14%,620,290,910,67,47,114,11%,16%,608,308,916,71,41,112,12%,13%
3,国立,弘前大学,うち18歳以下,181,128,309,34,29,63,19%,23%,148,141,289,31,39,70,21%,28%,210,176,386,24,30,54,11%,17%,212,136,348,32,19,51,15%,14%,227,119,346,25,25,50,11%,21%,224,136,360,24,25,49,11%,18%
3,国立,弘前大学,うち19歳,82,76,158,15,19,34,18%,25%,87,74,161,15,18,33,17%,24%,185,94,279,19,12,31,10%,13%,160,84,244,19,17,36,12%,20%,149,78,227,23,11,34,15%,14%,176,86,262,25,10,35,14%,12%
3,国立,弘前大学,うち20歳,28,27,55,8,5,13,29%,19%,21,13,34,3,2,5,14%,15%,86,39,125,15,2,17,17%,5%,84,23,107,11,3,14,13%,13%,89,41,130,11,5,16,12%,12%,84,43,127,14,5,19,17%,12%
3,国立,弘前大学,うち21歳,7,4,11,0,0,0,0%,0%,6,11,17,0,3,3,0%,27%,44,19,63,2,5,7,5%,26%,34,10,44,3,0,3,9%,0%,39,19,58,5,4,9,13%,21%,40,14,54,4,0,4,10%,0%
3,国立,弘前大学,うち22歳以上,21,12,33,2,0,2,10%,0%,36,11,47,1,0,1,3%,0%,82,29,111,6,1,7,7%,3%,96,32,128,7,2,9,7%,6%,116,33,149,3,2,5,3%,6%,84,29,113,4,1,5,5%,3%
4,国立,東北大学,合計,329,87,416,109,29,138,33%,33%,294,67,361,114,23,137,39%,34%,285,73,358,108,29,137,38%,40%,298,69,367,118,20,138,40%,29%,302,65,367,114,25,139,38%,38%,294,67,361,119,17,136,40%,25%
4,国立,東北大学,うち18歳以下,154,57,211,51,18,69,33%,32%,144,29,173,57,12,69,40%,41%,102,36,138,46,12,58,45%,33%,131,35,166,55,8,63,42%,23%,126,38,164,49,14,63,39%,37%,124,41,165,47,10,57,38%,24%
4,国立,東北大学,うち19歳,97,16,113,40,9,49,41%,56%,66,21,87,34,8,42,52%,38%,79,24,103,41,15,56,52%,63%,74,12,86,37,4,41,50%,33%,88,13,101,43,8,51,49%,62%,85,10,95,48,4,52,56%,40%
4,国立,東北大学,うち20歳,36,3,39,13,1,14,36%,33%,34,7,41,10,2,12,29%,29%,34,4,38,11,1,12,32%,25%,34,9,43,14,3,17,41%,33%,38,3,41,12,1,13,32%,33%,32,5,37,11,2,13,34%,40%
4,国立,東北大学,うち21歳,15,1,16,4,0,4,27%,0%,19,3,22,5,0,5,26%,0%,22,2,24,5,1,6,23%,50%,16,2,18,5,1,6,31%,50%,12,3,15,3,2,5,25%,67%,19,1,20,4,0,4,21%,0%
4,国立,東北大学,うち22歳以上,27,10,37,1,1,2,4%,10%,31,7,38,8,1,9,26%,14%,48,7,55,5,0,5,10%,0%,43,11,54,7,4,11,16%,36%,38,8,46,7,0,7,18%,0%,34,10,44,9,1,10,26%,10%
5,国立,秋田大学,合計,244,157,401,81,50,131,33%,32%,270,196,466,79,49,128,29%,25%,251,165,416,80,47,127,32%,28%,220,166,386,74,52,126,34%,31%,256,185,441,71,54,125,28%,29%,238,187,425,72,52,124,30%,28%
5,国立,秋田大学,うち18歳以下,134,95,229,43,28,71,32%,29%,174,135,309,41,26,67,24%,19%,138,94,232,39,23,62,28%,24%,121,110,231,43,26,69,36%,24%,118,100,218,37,27,64,31%,27%,143,116,259,41,28,69,29%,24%
5,国立,秋田大学,うち19歳,87,54,141,31,21,52,36%,39%,67,51,118,30,20,50,45%,39%,93,67,160,37,24,61,40%,36%,71,45,116,24,22,46,34%,49%,109,77,186,26,24,50,24%,31%,73,57,130,27,23,50,37%,40%
5,国立,秋田大学,うち20歳,14,6,20,4,0,4,29%,0%,15,6,21,6,2,8,40%,33%,10,2,12,3,0,3,30%,0%,20,6,26,6,4,10,30%,67%,19,7,26,8,2,10,42%,29%,10,8,18,4,1,5,40%,13%
5,国立,秋田大学,うち21歳,3,1,4,1,0,1,33%,0%,6,2,8,2,1,3,33%,50%,1,1,2,0,0,0,0%,0%,1,1,2,0,0,0,0%,0%,3,0,3,0,0,0,0%,-,6,3,9,0,0,0,0%,0%
5,国立,秋田大学,うち22歳以上,6,1,7,2,1,3,33%,100%,8,2,10,0,0,0,0%,0%,9,1,10,1,0,1,11%,0%,7,4,11,1,0,1,14%,0%,7,1,8,0,1,1,0%,100%,6,3,9,0,0,0,0%,0%
6,国立,山形大学,合計,270,209,479,78,44,122,29%,21%,287,232,519,73,52,125,25%,22%,291,215,506,80,50,130,27%,23%,210,177,387,70,62,132,33%,35%,349,245,594,86,42,128,25%,17%,257,210,467,90,37,127,35%,18%
6,国立,山形大学,うち18歳以下,139,137,276,34,21,55,24%,15%,145,134,279,30,20,50,21%,15%,121,136,257,20,23,43,17%,17%,94,98,192,20,21,41,21%,21%,137,110,247,26,17,43,19%,15%,108,130,238,30,19,49,28%,15%
6,国立,山形大学,うち19歳,56,36,92,23,11,34,41%,31%,57,45,102,23,16,39,40%,36%,60,41,101,20,15,35,33%,37%,32,49,81,20,24,44,63%,49%,90,57,147,29,8,37,32%,14%,52,36,88,21,14,35,40%,39%
6,国立,山形大学,うち20歳,27,10,37,9,4,13,33%,40%,26,22,48,11,9,20,42%,41%,29,12,41,16,3,19,55%,25%,26,17,43,12,9,21,46%,53%,51,38,89,19,8,27,37%,21%,35,16,51,19,1,20,54%,6%
6,国立,山形大学,うち21歳,12,5,17,5,2,7,42%,40%,15,7,22,1,1,2,7%,14%,22,6,28,7,2,9,32%,33%,19,7,26,10,4,14,53%,57%,19,16,35,3,4,7,16%,25%,17,11,28,7,1,8,41%,9%
6,国立,山形大学,うち22歳以上,36,21,57,7,6,13,19%,29%,44,24,68,8,6,14,18%,25%,59,20,79,17,7,24,29%,35%,39,6,45,8,4,12,21%,67%,52,24,76,9,5,14,17%,21%,45,17,62,13,2,15,29%,12%
7,国立,筑波大学,合計,288,245,533,93,46,139,32%,19%,329,266,595,86,53,139,26%,20%,320,274,594,84,54,138,26%,20%,335,213,548,79,50,129,24%,23%,335,241,576,84,40,124,25%,17%,329,260,589,67,46,113,20%,18%
7,国立,筑波大学,うち18歳以下,196,173,369,57,27,84,29%,16%,254,183,437,62,29,91,24%,16%,230,215,445,52,32,84,23%,15%,241,154,395,46,30,76,19%,19%,223,177,400,50,24,74,22%,14%,236,204,440,37,29,66,16%,14%
7,国立,筑波大学,うち19歳,58,53,111,29,16,45,50%,30%,51,68,119,22,23,45,43%,34%,68,42,110,29,19,48,43%,45%,57,45,102,26,17,43,46%,38%,75,44,119,28,15,43,37%,34%,58,41,99,23,16,39,40%,39%
7,国立,筑波大学,うち20歳,16,10,26,4,2,6,25%,20%,3,5,8,0,1,1,0%,20%,9,6,15,2,2,4,22%,33%,23,6,29,7,2,9,30%,33%,16,11,27,5,0,5,31%,0%,16,4,20,4,0,4,25%,0%
7,国立,筑波大学,うち21歳,2,3,5,0,1,1,0%,33%,2,4,6,1,0,1,50%,0%,1,1,2,1,1,2,100%,100%,2,4,6,0,0,0,0%,0%,2,1,3,0,0,0,0%,0%,6,1,7,2,0,2,33%,0%
7,国立,筑波大学,うち22歳以上,16,6,22,3,0,3,19%,0%,19,6,25,1,0,1,5%,0%,12,10,22,0,0,0,0%,0%,12,4,16,0,1,1,0%,25%,19,8,27,1,1,2,5%,13%,13,10,23,1,1,2,8%,10%
8,国立,群馬大学,合計,202,104,306,78,36,114,39%,35%,204,118,322,65,47,112,32%,40%,218,104,322,82,27,109,38%,26%,226,117,343,72,39,111,32%,33%,233,127,360,80,32,112,34%,25%,205,123,328,79,32,111,39%,26%
8,国立,群馬大学,うち18歳以下,154,96,250,58,32,90,38%,33%,166,104,270,53,43,96,32%,41%,176,91,267,69,22,91,39%,24%,185,108,293,54,34,88,29%,31%,185,114,299,66,30,96,36%,26%,170,110,280,66,28,94,39%,25%
8,国立,群馬大学,うち19歳,25,5,30,10,4,14,40%,80%,22,10,32,6,2,8,27%,20%,19,9,28,6,5,11,32%,56%,27,7,34,14,4,18,52%,57%,25,9,34,9,2,11,36%,22%,22,8,30,8,4,12,36%,50%
8,国立,群馬大学,うち20歳,13,1,14,8,0,8,62%,0%,8,2,10,3,1,4,38%,50%,12,1,13,3,0,3,25%,0%,5,2,7,2,1,3,40%,50%,8,3,11,2,0,2,25%,0%,2,0,2,2,0,2,100%,-
8,国立,群馬大学,うち21歳,0,0,0,0,0,0,-,-,1,1,2,0,1,1,0%,100%,2,1,3,1,0,1,50%,0%,5,0,5,2,0,2,40%,-,0,0,0,0,0,0,-,-,3,4,7,1,0,1,33%,0%
8,国立,群馬大学,うち22歳以上,10,2,12,2,0,2,20%,0%,7,1,8,3,0,3,43%,0%,9,2,11,3,0,3,33%,0%,4,0,4,0,0,0,0%,-,15,1,16,3,0,3,20%,0%,8,1,9,2,0,2,25%,0%
9,国立,千葉大学,合計,270,89,359,101,22,123,37%,25%,262,87,349,96,29,125,37%,33%,270,111,381,91,32,123,34%,29%,256,101,357,93,36,129,36%,36%,262,104,366,95,28,123,36%,27%,256,118,374,83,41,124,32%,35%
9,国立,千葉大学,うち18歳以下,152,50,202,57,11,68,38%,22%,149,52,201,49,18,67,33%,35%,144,71,215,46,20,66,32%,28%,150,66,216,55,23,78,37%,35%,143,62,205,47,12,59,33%,19%,161,78,239,50,23,73,31%,29%
9,国立,千葉大学,うち19歳,74,24,98,39,9,48,53%,38%,73,24,97,34,8,42,47%,33%,83,30,113,33,11,44,40%,37%,64,23,87,29,12,41,45%,52%,80,34,114,34,14,48,43%,41%,51,23,74,26,13,39,51%,57%
9,国立,千葉大学,うち20歳,22,11,33,4,2,6,18%,18%,24,5,29,9,2,11,38%,40%,23,6,29,8,1,9,35%,17%,19,3,22,6,0,6,32%,0%,17,5,22,7,2,9,41%,40%,13,7,20,6,1,7,46%,14%
9,国立,千葉大学,うち21歳,6,2,8,0,0,0,0%,0%,5,0,5,3,0,3,60%,-,4,0,4,2,0,2,50%,-,2,2,4,0,1,1,0%,50%,6,1,7,4,0,4,67%,0%,5,5,10,0,2,2,0%,40%
9,国立,千葉大学,うち22歳以上,16,2,18,1,0,1,6%,0%,11,6,17,1,1,2,9%,17%,16,4,20,2,0,2,13%,0%,21,7,28,3,0,3,14%,0%,16,2,18,3,0,3,19%,0%,26,5,31,1,2,3,4%,40%
10,国立,東京大学,合計,314,70,384,84,16,100,27%,23%,319,64,383,80,21,101,25%,33%,320,68,388,86,14,100,27%,21%,331,60,391,84,16,100,25%,27%,324,69,393,83,17,100,26%,25%,327,69,396,84,17,101,26%,25%
10,国立,東京大学,うち18歳以下,140,41,181,62,13,75,44%,32%,131,35,166,61,17,78,47%,49%,150,45,195,69,13,82,46%,29%,140,27,167,56,13,69,40%,48%,144,40,184,57,13,70,40%,33%,150,44,194,58,14,72,39%,32%
10,国立,東京大学,うち19歳,37,9,46,15,3,18,41%,33%,53,11,64,15,3,18,28%,27%,48,2,50,13,0,13,27%,0%,57,13,70,20,3,23,35%,23%,55,11,66,14,2,16,25%,18%,59,10,69,19,2,21,32%,20%
10,国立,東京大学,うち20歳,22,2,24,4,0,4,18%,0%,18,2,20,1,0,1,6%,0%,21,7,28,0,1,1,0%,14%,17,4,21,4,0,4,24%,0%,21,6,27,5,1,6,24%,17%,14,3,17,1,0,1,7%,0%
10,国立,東京大学,うち21歳,13,1,14,0,0,0,0%,0%,20,3,23,1,1,2,5%,33%,7,1,8,1,0,1,14%,0%,14,4,18,1,0,1,7%,0%,10,2,12,1,0,1,10%,0%,21,2,23,1,0,1,5%,0%
10,国立,東京大学,うち22歳以上,102,17,119,3,0,3,3%,0%,97,13,110,2,0,2,2%,0%,94,13,107,3,0,3,3%,0%,103,12,115,3,0,3,3%,0%,94,10,104,6,1,7,6%,10%,83,10,93,5,1,6,6%,10%
11,国立,東京医科歯科大学,合計,250,117,367,74,38,112,30%,32%,241,130,371,78,37,115,32%,28%,256,100,356,90,24,114,35%,24%,244,104,348,78,35,113,32%,34%,259,111,370,80,30,110,31%,27%,238,117,355,75,32,107,32%,27%
11,国立,東京医科歯科大学,うち18歳以下,146,80,226,47,29,76,32%,36%,150,96,246,54,27,81,36%,28%,157,71,228,62,19,81,39%,27%,147,72,219,45,29,74,31%,40%,167,78,245,53,24,77,32%,31%,145,70,215,45,20,65,31%,29%
11,国立,東京医科歯科大学,うち19歳,52,23,75,19,6,25,37%,26%,52,25,77,21,9,30,40%,36%,53,17,70,21,4,25,40%,24%,64,19,83,28,5,33,44%,26%,51,22,73,24,6,30,47%,27%,48,34,82,23,10,33,48%,29%
11,国立,東京医科歯科大学,うち20歳,12,8,20,4,2,6,33%,25%,7,2,9,0,1,1,0%,50%,16,6,22,5,1,6,31%,17%,6,7,13,1,1,2,17%,14%,15,5,20,2,0,2,13%,0%,17,6,23,2,2,4,12%,33%
11,国立,東京医科歯科大学,うち21歳,8,0,8,1,0,1,13%,-,1,1,2,0,0,0,0%,0%,9,2,11,0,0,0,0%,0%,6,2,8,2,0,2,33%,0%,4,1,5,0,0,0,0%,0%,7,2,9,2,0,2,29%,0%
11,国立,東京医科歯科大学,うち22歳以上,32,6,38,3,1,4,9%,17%,31,6,37,3,0,3,10%,0%,21,4,25,2,0,2,10%,0%,21,4,25,2,0,2,10%,0%,22,5,27,1,0,1,5%,0%,21,5,26,3,0,3,14%,0%
12,国立,新潟大学,合計,310,161,471,100,29,129,32%,18%,315,158,473,86,38,124,27%,24%,282,132,414,93,29,122,33%,22%,248,116,364,91,33,124,37%,28%,312,161,473,85,39,124,27%,24%,287,150,437,88,36,124,31%,24%
12,国立,新潟大学,うち18歳以下,160,104,264,31,12,43,19%,12%,156,87,243,31,14,45,20%,16%,156,94,250,38,16,54,24%,17%,113,78,191,23,16,39,20%,21%,140,89,229,29,14,43,21%,16%,142,86,228,37,17,54,26%,20%
12,国立,新潟大学,うち19歳,63,30,93,33,12,45,52%,40%,81,36,117,34,15,49,42%,42%,67,21,88,36,6,42,54%,29%,54,25,79,29,11,40,54%,44%,85,39,124,36,19,55,42%,49%,55,38,93,22,14,36,40%,37%
12,国立,新潟大学,うち20歳,29,14,43,15,4,19,52%,29%,19,11,30,11,4,15,58%,36%,19,10,29,7,7,14,37%,70%,28,4,32,22,2,24,79%,50%,20,12,32,6,4,10,30%,33%,28,9,37,11,4,15,39%,44%
12,国立,新潟大学,うち21歳,12,2,14,4,1,5,33%,50%,14,5,19,4,1,5,29%,20%,10,1,11,2,0,2,20%,0%,6,2,8,5,1,6,83%,50%,15,5,20,4,0,4,27%,0%,12,5,17,4,1,5,33%,20%
12,国立,新潟大学,うち22歳以上,46,11,57,17,0,17,37%,0%,45,19,64,6,4,10,13%,21%,30,6,36,10,0,10,33%,0%,47,7,54,12,3,15,26%,43%,52,16,68,10,2,12,19%,13%,50,12,62,14,0,14,28%,0%
13,国立,富山大学,合計,267,178,445,67,45,112,25%,25%,349,209,558,79,30,109,23%,14%,335,239,574,79,31,110,24%,13%,269,176,445,65,41,106,24%,23%,385,231,616,69,38,107,18%,16%,307,226,533,54,53,107,18%,23%
13,国立,富山大学,うち18歳以下,102,81,183,24,13,37,24%,16%,113,66,179,18,9,27,16%,14%,103,90,193,21,10,31,20%,11%,91,64,155,21,14,35,23%,22%,95,72,167,18,13,31,19%,18%,111,86,197,16,20,36,14%,23%
13,国立,富山大学,うち19歳,77,46,123,27,19,46,35%,41%,104,85,189,29,15,44,28%,18%,122,83,205,31,11,42,25%,13%,71,67,138,16,17,33,23%,25%,143,75,218,31,15,46,22%,20%,85,63,148,17,18,35,20%,29%
13,国立,富山大学,うち20歳,18,20,38,4,7,11,22%,35%,67,31,98,12,4,16,18%,13%,51,37,88,14,7,21,27%,19%,57,24,81,11,5,16,19%,21%,68,46,114,13,3,16,19%,7%,65,45,110,15,8,23,23%,18%
13,国立,富山大学,うち21歳,22,4,26,2,2,4,9%,50%,11,10,21,5,1,6,45%,10%,16,2,18,4,0,4,25%,0%,9,7,16,4,1,5,44%,14%,21,13,34,3,2,5,14%,15%,11,18,29,3,3,6,27%,17%
13,国立,富山大学,うち22歳以上,48,27,75,10,4,14,21%,15%,54,17,71,15,1,16,28%,6%,43,27,70,9,3,12,21%,11%,41,14,55,13,4,17,32%,29%,58,25,83,4,5,9,7%,20%,35,14,49,3,4,7,9%,29%
14,国立,金沢大学,合計,235,82,317,87,27,114,37%,33%,218,63,281,93,20,113,43%,32%,243,81,324,91,24,115,37%,30%,230,80,310,85,27,112,37%,34%,273,92,365,89,23,112,33%,25%,261,101,362,82,30,112,31%,30%
14,国立,金沢大学,うち18歳以下,105,53,158,42,14,56,40%,26%,98,36,134,38,11,49,39%,31%,108,47,155,36,12,48,33%,26%,102,44,146,41,13,54,40%,30%,118,52,170,40,14,54,34%,27%,133,54,187,35,12,47,26%,22%
14,国立,金沢大学,うち19歳,62,16,78,27,8,35,44%,50%,53,15,68,37,8,45,70%,53%,61,17,78,32,9,41,52%,53%,45,22,67,19,11,30,42%,50%,78,18,96,26,6,32,33%,33%,63,27,90,32,8,40,51%,30%
14,国立,金沢大学,うち20歳,22,4,26,7,3,10,32%,75%,19,4,23,7,1,8,37%,25%,28,5,33,11,1,12,39%,20%,34,6,40,15,2,17,44%,33%,27,8,35,9,1,10,33%,13%,17,14,31,7,10,17,41%,71%
14,国立,金沢大学,うち21歳,11,3,14,2,1,3,18%,33%,9,1,10,4,0,4,44%,0%,11,3,14,4,0,4,36%,0%,11,4,15,3,1,4,27%,25%,17,3,20,6,0,6,35%,0%,8,1,9,3,0,3,38%,0%
14,国立,金沢大学,うち22歳以上,35,6,41,9,1,10,26%,17%,39,7,46,7,0,7,18%,0%,35,9,44,8,2,10,23%,22%,38,4,42,7,0,7,18%,0%,33,11,44,8,2,10,24%,18%,40,5,45,5,0,5,13%,0%
15,国立,福井大学,合計,217,137,354,63,51,114,29%,37%,260,162,422,60,52,112,23%,32%,223,126,349,71,42,113,32%,33%,208,124,332,79,34,113,38%,27%,257,146,403,66,46,112,26%,32%,161,122,283,65,45,110,40%,37%
15,国立,福井大学,うち18歳以下,80,53,133,24,16,40,30%,30%,106,58,164,25,16,41,24%,28%,95,75,170,26,19,45,27%,25%,89,61,150,30,15,45,34%,25%,98,58,156,30,25,55,31%,43%,65,70,135,20,22,42,31%,31%
15,国立,福井大学,うち19歳,72,46,118,23,19,42,32%,41%,68,62,130,22,26,48,32%,42%,60,30,90,26,14,40,43%,47%,59,31,90,30,13,43,51%,42%,71,54,125,21,13,34,30%,24%,48,31,79,22,14,36,46%,45%
15,国立,福井大学,うち20歳,14,18,32,7,8,15,50%,44%,31,20,51,5,6,11,16%,30%,28,13,41,12,7,19,43%,54%,27,14,41,10,4,14,37%,29%,32,22,54,7,6,13,22%,27%,13,10,23,9,6,15,69%,60%
15,国立,福井大学,うち21歳,10,6,16,1,2,3,10%,33%,12,10,22,3,1,4,25%,10%,14,2,16,5,1,6,36%,50%,8,8,16,2,1,3,25%,13%,15,6,21,5,0,5,33%,0%,9,4,13,6,1,7,67%,25%
15,国立,福井大学,うち22歳以上,41,14,55,8,6,14,20%,43%,43,12,55,5,3,8,12%,25%,26,6,32,2,1,3,8%,17%,25,10,35,7,1,8,28%,10%,41,6,47,3,2,5,7%,33%,26,7,33,8,2,10,31%,29%
16,国立,山梨大学,合計,307,84,391,116,21,137,38%,25%,298,89,387,109,26,135,37%,29%,342,102,444,110,33,143,32%,32%,349,99,448,110,28,138,32%,28%,355,102,457,99,32,131,28%,31%,313,105,418,103,29,132,33%,28%
16,国立,山梨大学,うち18歳以下,96,37,133,42,12,54,44%,32%,114,42,156,48,16,64,42%,38%,107,45,152,39,17,56,36%,38%,112,46,158,33,14,47,29%,30%,99,53,152,35,21,56,35%,40%,111,50,161,42,21,63,38%,42%
16,国立,山梨大学,うち19歳,112,26,138,49,7,56,44%,27%,89,26,115,39,10,49,44%,38%,96,26,122,39,12,51,41%,46%,96,22,118,42,8,50,44%,36%,113,21,134,39,9,48,35%,43%,90,31,121,39,7,46,43%,23%
16,国立,山梨大学,うち20歳,32,6,38,9,1,10,28%,17%,38,10,48,11,0,11,29%,0%,32,8,40,9,1,10,28%,13%,30,10,40,10,4,14,33%,40%,44,9,53,10,2,12,23%,22%,33,7,40,10,0,10,30%,0%
16,国立,山梨大学,うち21歳,16,4,20,4,0,4,25%,0%,13,4,17,1,0,1,8%,0%,16,8,24,5,1,6,31%,13%,21,4,25,5,0,5,24%,0%,18,2,20,2,0,2,11%,0%,13,4,17,2,0,2,15%,0%
16,国立,山梨大学,うち22歳以上,51,11,62,12,1,13,24%,9%,44,7,51,10,0,10,23%,0%,91,15,106,18,2,20,20%,13%,90,17,107,20,2,22,22%,12%,81,17,98,13,0,13,16%,0%,66,13,79,10,1,11,15%,8%
17,国立,信州大学,合計,311,171,482,91,36,127,29%,21%,331,172,503,85,38,123,26%,22%,310,157,467,81,43,124,26%,27%,508,265,773,87,37,124,17%,14%,829,465,"1,294",82,47,129,10%,10%,584,254,838,90,35,125,15%,14%
17,国立,信州大学,うち18歳以下,129,74,203,33,12,45,26%,16%,113,85,198,29,15,44,26%,18%,116,67,183,31,15,46,27%,22%,214,127,341,29,16,45,14%,13%,389,276,665,36,26,62,9%,9%,279,150,429,34,24,58,12%,16%
17,国立,信州大学,うち19歳,80,56,136,29,15,44,36%,27%,95,54,149,29,17,46,31%,31%,78,49,127,23,17,40,29%,35%,127,75,202,24,15,39,19%,20%,190,91,281,18,12,30,9%,13%,96,40,136,25,4,29,26%,10%
17,国立,信州大学,うち20歳,29,24,53,10,7,17,34%,29%,36,17,53,12,5,17,33%,29%,27,17,44,8,6,14,30%,35%,58,26,84,14,4,18,24%,15%,59,37,96,8,5,13,14%,14%,51,16,67,9,2,11,18%,13%
17,国立,信州大学,うち21歳,8,7,15,1,2,3,13%,29%,14,8,22,1,0,1,7%,0%,20,6,26,2,2,4,10%,33%,32,14,46,8,0,8,25%,0%,35,16,51,5,1,6,14%,6%,29,10,39,6,1,7,21%,10%
17,国立,信州大学,うち22歳以上,65,10,75,18,0,18,28%,0%,73,8,81,14,1,15,19%,13%,69,18,87,17,3,20,25%,17%,77,23,100,12,2,14,16%,9%,156,45,201,15,3,18,10%,7%,129,38,167,16,4,20,12%,11%
18,国立,岐阜大学,合計,429,143,572,87,26,113,20%,18%,473,154,627,75,37,112,16%,24%,417,148,565,79,35,114,19%,24%,426,139,565,75,35,110,18%,25%,506,181,687,80,29,109,16%,16%,"1,430",440,"1,870",84,26,110,6%,6%
18,国立,岐阜大学,うち18歳以下,175,87,262,45,21,66,26%,24%,220,95,315,45,26,71,20%,27%,177,79,256,37,21,58,21%,27%,194,85,279,43,23,66,22%,27%,211,104,315,40,25,65,19%,24%,540,212,752,42,25,67,8%,12%
18,国立,岐阜大学,うち19歳,111,25,136,26,3,29,23%,12%,85,32,117,16,9,25,19%,28%,95,39,134,24,14,38,25%,36%,85,26,111,18,8,26,21%,31%,116,34,150,22,3,25,19%,9%,276,105,381,19,0,19,7%,0%
18,国立,岐阜大学,うち20歳,38,9,47,7,2,9,18%,22%,48,8,56,5,0,5,10%,0%,32,9,41,6,0,6,19%,0%,26,8,34,4,2,6,15%,25%,56,16,72,5,0,5,9%,0%,151,42,193,3,0,3,2%,0%
18,国立,岐阜大学,うち21歳,24,5,29,3,0,3,13%,0%,17,1,18,1,0,1,6%,0%,20,4,24,2,0,2,10%,0%,22,5,27,2,1,3,9%,20%,23,4,27,3,0,3,13%,0%,50,19,69,2,0,2,4%,0%
